City,Latitude,Longitude,Max temp,Humidity,Cloudiness,Wind speed,Country,Date
barrow,71.2906,-156.7887,-22.0,77,90,6.17,US,1613256569
ushuaia,-54.8,-68.3,7.0,81,75,0.89,AR,1613256576
nikolskoye,59.7035,30.7861,-8.0,93,75,2.0,RU,1613256610
mataura,-46.1927,168.8643,19.44,64,100,3.13,NZ,1613256572
omsukchan,62.5333,155.8,-31.57,83,84,1.95,RU,1613256625
vryheid,-27.7695,30.7917,18.52,97,100,0.33,ZA,1613257163
lebu,-37.6167,-73.65,14.65,77,3,7.67,CL,1613256589
punta arenas,-53.15,-70.9167,12.0,43,0,6.17,CL,1613257164
cape town,-33.9258,18.4232,20.56,94,20,2.57,ZA,1613256555
hobart,-42.8794,147.3294,17.78,67,20,1.54,AU,1613256342
khatanga,71.9667,102.5,-35.3,84,15,3.81,RU,1613256579
atuona,-9.8,-139.0333,26.19,79,6,7.6,PF,1613256595
grigiskes,54.6833,25.0833,-3.33,93,90,3.09,LT,1613257148
port elizabeth,-33.918,25.5701,23.0,94,75,3.6,ZA,1613256602
ribeira grande,38.5167,-28.7,14.37,63,61,12.44,PT,1613256587
tevaitoa,-16.7833,-151.5,27.95,69,4,3.95,PF,1613257167
saint-denis,48.9167,2.3333,-2.0,50,0,4.12,FR,1613257167
mar del plata,-38.0023,-57.5575,21.11,88,90,4.63,AR,1613256598
swindon,51.558,-1.7812,1.11,55,90,6.17,GB,1613257168
cherskiy,68.75,161.3,-22.46,83,45,5.19,RU,1613256575
saint-philippe,-21.3585,55.7679,26.0,73,34,7.2,RE,1613256602
mananara,-16.1667,49.7667,24.18,87,100,1.94,MG,1613257169
damghan,36.1683,54.348,7.71,52,40,0.96,IR,1613257169
provideniya,64.3833,-173.3,-12.02,91,100,8.18,RU,1613257170
bredasdorp,-34.5322,20.0403,19.0,88,9,1.54,ZA,1613256589
ostrovnoy,68.0531,39.5131,-21.14,91,24,2.1,RU,1613256638
ponta do sol,32.6667,-17.1,12.78,75,0,1.34,PT,1613256601
tasiilaq,65.6145,-37.6368,0.57,92,100,13.44,GL,1613256604
east london,-33.0153,27.9116,24.8,88,99,3.21,ZA,1613256611
mahebourg,-20.4081,57.7,25.0,94,75,2.06,MU,1613256388
port-gentil,-0.7193,8.7815,29.0,84,40,2.57,GA,1613257172
mount gambier,-37.8333,140.7667,16.0,67,90,4.63,AU,1613256592
gao,16.6362,1.637,23.91,16,0,4.54,ML,1613257172
hovd,48.0056,91.6419,-15.39,89,44,0.36,MN,1613256607
nantucket,41.2835,-70.0995,0.0,80,90,5.14,US,1613257159
avarua,-21.2078,-159.775,29.0,79,20,3.09,CK,1613256502
lavrentiya,65.5833,-171.0,-17.31,89,100,5.51,RU,1613256607
rikitea,-23.1203,-134.9692,26.86,73,64,4.02,PF,1613257174
port alfred,-33.5906,26.891,24.44,92,98,0.45,ZA,1613256440
sawtell,-30.3833,153.1,20.56,88,90,6.69,AU,1613257175
bengkulu,-3.8004,102.2655,25.04,83,100,2.13,ID,1613256330
half moon bay,37.4636,-122.4286,15.0,71,1,9.26,US,1613256666
kapaa,22.0752,-159.319,26.0,65,40,4.63,US,1613256609
new norfolk,-42.7826,147.0587,18.33,55,3,1.79,AU,1613256576
tual,-5.6667,132.75,28.91,75,67,5.68,ID,1613256680
adrar,20.5022,-10.0711,19.41,21,0,5.07,MR,1613257177
vaini,-21.2,-175.2,29.0,79,40,4.63,TO,1613257177
muyezerskiy,63.9333,31.65,-22.24,91,98,2.36,RU,1613256667
